GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
mon-projet,com.library.model,Book,66,56,0,0,22,24,6,12,6,12
mon-projet,com.library.model,Student,36,29,0,0,17,9,6,5,6,5
mon-projet,com.library.model,Borrow,46,37,0,0,17,14,7,7,7,7
mon-projet,com.library.dao,StudentDAO,32,161,2,6,10,46,2,9,0,7
mon-projet,com.library.dao,BorrowDAO,70,168,8,4,16,40,6,5,1,4
mon-projet,com.library.dao,BookDAO,91,215,4,6,26,62,4,8,1,6
mon-projet,com.library,Main,283,0,16,0,91,0,13,0,2,0
mon-projet,com.library.util,DbConnection,10,8,0,0,3,2,1,1,1,1
mon-projet,com.library.service,BorrowService,55,58,8,4,13,18,7,4,2,3
mon-projet,com.library.service,StudentService,28,21,2,0,7,8,3,4,2,4
mon-projet,com.library.service,BookService,46,21,4,0,15,9,4,4,2,4
